frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
1830,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1860,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1890,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1920,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1950,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1980,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2010,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2040,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2070,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2100,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2130,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2160,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2190,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2220,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2250,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2280,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2310,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2340,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2370,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2400,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2430,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2460,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2490,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2520,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2550,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2580,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2610,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2640,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2670,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2700,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2730,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2760,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2790,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2820,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2850,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
2880,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2910,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2940,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2970,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3000,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3030,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
